,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
434,# of Members (Actual),real,,"{ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}",,
351,# of Members (Projection),real,,"{ FIXED [Client], [Population],[FilledYear]: MAX([Projection_Members])}",,
370,# of Months to Date ,integer,,"IF MAX([AsOf])>MAX([FilledYear])THEN 12
ELSE DATEPART('month',MAX([AsOf]))
END",,
583,$ Decimal Label (Pharmacy),real,,"CASE [Parameters].[Parameter 7]
    WHEN 'Ingredient Cost Per Claim' THEN [Metric Selector (copy)]
END",,
542,$ Integer Label (Pharmacy),real,,"CASE [Parameters].[Parameter 7]
    WHEN 'Total Ingredient Cost' THEN [Metric Selector (copy)]
    WHEN 'Plan Paid' THEN [Metric Selector (copy)]
END",,
525,$ Integer Label (tooltip),real,,"CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
END",,1
487,$ Interger Label,real,,"CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
END",,1
206,$ Sign Label,string,,"CASE [Parameters].[Parameter 2]
    WHEN ""IC/Rx"" THEN ""$""
    WHEN ""IC/PMPM"" THEN ""$""
    WHEN ""IC/PMPY"" THEN ""$""
    WHEN ""IC Total$"" THEN ""$""
END",,
557,% Label,real,,"CASE [Parameters].[Parameter 6]
    WHEN 'Generic Utilization Rate' THEN CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END
    WHEN 'Discount %' THEN CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END
END",,
533,% Label (Pharmacy),real,,"CASE [Parameters].[Parameter 7]
    WHEN 'Generic Utilization Rate' THEN [Metric Selector (copy)]
    WHEN 'Discount %' THEN [Metric Selector (copy)]
END",,
574,% of Total - Brand,real,,"SUM( IF [ClaimType] = ""Brand"" THEN [Act_Claims] END)
/ 
SUM([Act_Claims])",,
539,% of Total - Generic MAC,real,,"SUM( IF [ClaimType] = ""Generic MAC"" THEN [Act_Claims] END)
/ 
SUM([Act_Claims])",,
538,% of Total - Generic Non-MAC,real,,"SUM( IF [ClaimType] = ""Generic Non-MAC"" THEN [Act_Claims] END)
/ 
SUM([Act_Claims])",,
565,% of Total Claims,real,,SUM([Act_Claims]) / TOTAL(SUM([Act_Claims])),,
200,***  Act Members PY,boolean,,"{ FIXED [Client] : AVG(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'YTD'
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PYTD'
ELSEIF YEAR([ThruDate])-2=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PPYTD'
END = 'PYTD' THEN [Act_Members] ELSE 0 END) } > 0",,
210,2016,integer,,2016,,
257,:Measure Names,string,,,,
445,AWP per Claim (Actual),real,,ZN(SUM([Act_AWP])/SUM([Act_Claims])),,
360,AWP per Claim (Projection),real,,ZN(SUM([Projection_AWP])/SUM([Projection_Claims])),,
133,Act AWP,real,,,,
187,Act Claims,real,,,,
161,Act IngCost,real,,,,
174,Act Members,real,,,,
568,Act_Members,real,,,,
168,Actual Members (LOD),real,,"{ FIXED [Population], [Contract], [PBP], [FilledMonth]:AVG([Act_Members])}",,
292,Actual Membership (LOD),real,,"{FIXED [Client],[Population], [Contract], [PBP],[Quarter]: AVG([Contract_Members])}

//Membership is provided at a quarterly client level by contract/PBP.  
//Avg/Min/Max would all provide same number.",,
378,AsOf,date,,,,
184,Attr Year,integer,,attr(YEAR([FilledMonth])),,
553,Avg % of Total - Brand,real,,"SUM( IF [ClaimType] = ""Brand"" THEN [Act_Claims] END)
/
TOTAL(SUM( IF [ClaimType] = ""Brand"" THEN [Act_Claims] END))",,
499,Avg Membership (LOD),real,,"SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : 
    AVG([Act_Members])
}) 
/MAX(MONTH([FilledMonth]))",,
125,Brand AWP,real,,"IIF([GenericFlag]=""N"", IF [Exclude]=""N"" THEN [Act_AWP] END,0)",,
337,Brand Claims,real,,,,
253,Brand Discount %,real,,"(SUM(IIF([GenericFlag]=""N"", IF [Exclude]=""N"" THEN [Act_AWP] END,0))-SUM(IIF([GenericFlag]=""N"", IF [Exclude]=""N"" THEN [Act_IngCost] END,0)))/SUM(IIF([GenericFlag]=""N"", IF [Exclude]=""N"" THEN [Act_AWP] END,0))",,
279,Brand Discount % YoY Difference,real,,([CY Discount % (copy)]-[PY Generic Discount % (copy)])/[PY Generic Discount % (copy)],,
159,Brand Discount YTD (Down),string,,"IF [Total Ingredient Cost YTD (YoY) (copy 2)]<0 THEN ""▼ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy 2)]*100,1))+""%"" END",,
207,Brand Discount YTD (Up),string,,"IF [Total Ingredient Cost YTD (YoY) (copy 2)]>=0 THEN ""▲ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy 2)]*100,1))+""%"" END",,
231,Brand Discount YTD (Up/Down),string,,"IF [Total Ingredient Cost YTD (YoY) (copy 2)]>=0 
THEN ""▲ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy 2)]*100,1))+""%"" 
ELSEIF [Total Ingredient Cost YTD (YoY) (copy 2)]<0 
THEN ""▼ "" + STR(ROUND(ABS([Total Ingredient Cost YTD (YoY) (copy 2)]*100),1))+""%""
ELSE STR(ROUND([Total Ingredient Cost YTD (YoY) (copy 2)]*100,1))+""%""
END",,
167,By Population,string,,"""Only Projected""",,
239,CY Avg Members,real,,"SUM([# of Members - Actual (copy 2)]) / MAX(DATEPART('month',[ThruDate]))",,
128,CY Avg Members - ES,real,,"SUM([CY Members (LOD) (copy 2)])/MAX(DATEPART('month',[ThruDate]))",,
244,CY Brand Discount %,real,,"(SUM([CY Total AWP (copy)])-SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""N"" AND [Exclude]=""N""
THEN [Act_IngCost]
END))/SUM([CY Total AWP (copy)])",,
